Frames,X Position (px),Y Position (px),Angle (deg)
1,46.5,38.64583333333333,39.72973960235671
2,47.42222222222222,40.42222222222222,40.44393776284695
3,44.5,42.64583333333333,43.7811247648687
4,45.64583333333333,42.5,42.95604058199099
5,47.577777777777776,41.42222222222222,41.043521447020176
6,47.577777777777776,40.42222222222222,40.35132815691592
7,47.0,40.733333333333334,40.91438322002513
8,48.0,41.0,40.50284838533223
9,47.577777777777776,39.577777777777776,39.755521920555346
10,46.5,39.5,40.34664841273162
11,46.42222222222222,40.577777777777776,41.156785794359614
12,46.42222222222222,41.42222222222222,41.74230822346371
13,47.0,39.266666666666666,39.87744032504139
14,45.0,39.733333333333334,41.44331149523893
15,45.0,40.733333333333334,42.150927641979834
16,46.42222222222222,40.42222222222222,41.0477695378837
17,45.577777777777776,38.577777777777776,40.24512315233121
18,43.64583333333333,41.5,43.55634539779508
19,45.354166666666664,42.5,43.13925492721911
20,46.5,42.5,42.42664053682318
21,47.25641025641025,41.666666666666664,41.40309485092042
22,46.77777777777777,41.77777777777778,41.768412189143795
23,46.8095238095238,42.0,41.900146711478605
24,47.577777777777776,41.42222222222222,41.043521447020176
25,47.25641025641025,40.666666666666664,40.71375443271572
26,46.42222222222222,41.577777777777776,41.84901890931366
27,46.5,41.64583333333333,41.84792110313596
28,47.5,39.5,39.746197248737744
29,46.577777777777776,39.42222222222222,40.2437098912248
30,47.0,40.0,40.39990433373672
31,47.354166666666664,39.5,39.83283355126164
32,46.77777777777778,38.888888888888886,39.73857418698041
33,44.19047619047619,40.0,42.15052543932277
34,43.64583333333333,41.5,43.55634539779508
35,45.5,41.64583333333333,42.467650894029234
36,46.93939393939393,41.39393939393939,41.40775794897738
37,46.64583333333333,41.5,41.65894273425189
38,45.64583333333333,42.5,42.95604058199099
39,47.577777777777776,41.42222222222222,41.043521447020176
40,47.5,40.5,40.451957590874585
41,47.5,41.354166666666664,41.043287764376196
42,46.5,42.354166666666664,42.32858223200284
43,47.64583333333333,40.5,40.36526378764158
44,47.5,39.5,39.746197248737744
45,46.42222222222222,39.577777777777776,40.44961704968965
46,47.42222222222222,40.42222222222222,40.44393776284695
47,47.577777777777776,39.577777777777776,39.755521920555346
48,47.0,39.625,40.13373911241184
49,47.354166666666664,39.5,39.83283355126164
50,47.5,40.354166666666664,40.34994431335274
51,47.5,40.354166666666664,40.34994431335274
52,47.354166666666664,39.5,39.83283355126164
53,45.0,41.733333333333334,42.84306931334152
54,45.0,41.733333333333334,42.84306931334152
55,46.0,40.5,41.36181342213534
56,45.577777777777776,39.577777777777776,40.96964082622256
57,44.577777777777776,40.577777777777776,42.31063018699243
58,46.354166666666664,40.5,41.14396761689281
59,45.8095238095238,39.42857142857143,40.71880419724202
60,44.666666666666664,39.416666666666664,41.42720087393461
61,44.060606060606055,40.39393939393939,42.51401568560814
62,45.19047619047619,40.0,41.513398961934435
63,45.22222222222222,38.77777777777778,40.612885941531154
64,44.5,40.354166666666664,42.20284790203007
65,45.19047619047619,41.0,42.216540628239784
66,46.42222222222222,40.42222222222222,41.0477695378837
67,46.19047619047619,40.0,40.891887822864135
68,44.5,41.354166666666664,42.9015302360866
69,45.5,42.5,43.04749095060039
70,47.0,40.733333333333334,40.91438322002513
71,47.0,40.266666666666666,40.5879062168072
72,46.354166666666664,41.5,41.837477736670756
73,46.64583333333333,42.5,42.337309956997544
74,47.64583333333333,41.5,41.056192387900914
75,46.19047619047619,41.0,41.59318503573595
76,45.19047619047619,42.0,42.904366334962354
77,45.354166666666664,42.5,43.13925492721911
78,46.5,41.64583333333333,41.84792110313596
79,45.5,42.354166666666664,42.949260634301005
80,45.354166666666664,42.5,43.13925492721911
81,46.354166666666664,42.5,42.51627692937604
82,46.354166666666664,41.5,41.837477736670756
83,44.64583333333333,42.5,43.589463780350115
84,44.577777777777776,42.577777777777776,43.68543719880651
85,45.577777777777776,42.577777777777776,43.050933605609465
86,47.577777777777776,40.577777777777776,40.4599492936535
87,46.5,39.5,40.34664841273162
88,45.5,40.354166666666664,41.56997155993821
89,46.5,39.354166666666664,40.242111475186114
90,46.44444444444444,39.166666666666664,40.14098336837456
91,45.19047619047619,40.0,41.513398961934435
92,44.8095238095238,41.0,42.45801633548374
93,46.0,39.0,40.292147755627774
94,45.5,38.64583333333333,40.34320729366828
95,44.5,39.64583333333333,41.69840622133304
96,44.5,40.64583333333333,42.40824844179329
97,45.431372549019606,40.56862745098039,41.76373938671456
98,44.431372549019606,40.56862745098039,42.39803733269028
99,43.64583333333333,41.5,43.55634539779508
100,44.354166666666664,41.5,43.09593982562656
101,45.5,41.354166666666664,42.26715942373687
102,46.354166666666664,40.5,41.14396761689281
103,44.5,42.0,43.344513460880705
104,45.19047619047619,42.57142857142857,43.29064954770182
105,45.64583333333333,41.5,42.27629211731219
106,44.64583333333333,41.5,42.90862877162373
107,43.64583333333333,41.5,43.55634539779508
108,47.22222222222222,41.77777777777778,41.49937706571731
109,46.42857142857143,40.8095238095238,41.31464218700404
110,45.44444444444444,41.166666666666664,42.1724228020633
111,44.577777777777776,41.42222222222222,42.898616960448024
